gene	n_intervals	min_lower	max_upper	total_width	intervals
WASH7P	1	2.7875182594899934	1384.8602214800699	1382.0727032205798	2.8-1384.9
ENSG00000241860	2	0.0	715.0706159170977	710.0639197895682	0.0-387.4; 392.4-715.1
CICP27	1	0.0	925.5195106021004	925.5195106021004	0.0-925.5
ENSG00000308579	1	117.201193592362	9582.41575461457	9465.214561022209	117.2-9582.4
ENSG00000268903	1	0.0	1941.00378043583	1941.00378043583	0.0-1941.0
ENSG00000269981	1	137.35597686065012	10437.128460807546	10299.772483946896	137.4-10437.1
WASH9P	1	6.332989229339208	944.2934718559583	937.9604826266191	6.3-944.3
ENSG00000292994	1	0.0	697.6889769111981	697.6889769111981	0.0-697.7
ENSG00000290385	1	21.17315517385285	3692.634082369493	3671.46092719564	21.2-3692.6
ENSG00000250575	1	0.0	957.7482805067098	957.7482805067098	0.0-957.7
LINC00115	1	27.408144425864528	4035.9798567848743	4008.57171235901	27.4-4036.0
MTND1P23	2	0.0	14801.724607279479	14245.257663655419	0.0-328.4; 884.9-14801.7
MTND2P28	2	15.581226794538788	26021.143253567774	25994.88932868798	15.6-46.6; 57.3-26021.1
MTCO1P12	1	37.87589675618486	34613.47637053135	34575.600473775165	37.9-34613.5
MTCO2P12	2	0.0	5101.633285255711	4744.508665102657	0.0-588.2; 945.3-5101.6
MTATP6P1	4	80.32849027915039	157206.6871516024	117379.25113679658	80.3-174.4; 183.3-584.9; 1088.8-49177.7; 88412.1-157206.7
MTCO3P12	2	0.5610502565429808	5283.438851258092	5210.316000204273	0.6-772.7; 845.2-5283.4
LINC01128	1	25.835475397929432	2464.8937304304927	2439.0582550325635	25.8-2464.9
NOC2L	1	176.61716141527648	5913.899379035774	5737.282217620497	176.6-5913.9
KLHL17	1	21.522528438876282	2741.2348447155064	2719.71231627663	21.5-2741.2
PLEKHN1	2	0.0	552.0377820864309	527.614691986262	0.0-276.2; 300.6-552.0
HES4	1	0.0	8130.126566442124	8130.126566442124	0.0-8130.1
ISG15	1	17.82782195064116	35720.01395824264	35702.186136292	17.8-35720.0
AGRN	1	4.594223415571486	2052.6309155657214	2048.03669215015	4.6-2052.6
C1orf159	1	37.25593619855289	2357.408704009213	2320.1527678106604	37.3-2357.4
TNFRSF18	1	2.1631180492934456	4576.00151662694	4573.838398577647	2.2-4576.0
TNFRSF4	1	0.3403152129253865	3321.6490419969646	3321.308726784039	0.3-3321.6
SDF4	1	575.4649942174744	9267.32179472076	8691.856800503285	575.5-9267.3
B3GALT6	1	7.521865355036481	1619.4831506438234	1611.961285288787	7.5-1619.5
C1QTNF12	1	0.0	272.1327153088209	272.1327153088209	0.0-272.1
UBE2J2	1	265.8063245263841	4435.4038079229895	4169.597483396606	265.8-4435.4
LINC01786	1	0.0	234.24104778243085	234.24104778243085	0.0-234.2
SCNN1D	1	7.4502538722389	1638.0087479840395	1630.5584941118007	7.5-1638.0
ACAP3	2	317.099568726824	16446.844710040277	14464.18852513299	317.1-7576.5; 9242.1-16446.8
PUSL1	1	18.2418446485859	1012.8153200049986	994.5734753564127	18.2-1012.8
INTS11	1	645.4307084041546	10557.170140784481	9911.739432380327	645.4-10557.2
ENSG00000240731	1	0.0	255.08604378370347	255.08604378370347	0.0-255.1
CPTP	1	115.672358490854	4731.874759090348	4616.202400599494	115.7-4731.9
TAS1R3	1	0.0	613.907477367097	613.907477367097	0.0-613.9
DVL1	1	133.43364996237474	4551.490740208436	4418.057090246061	133.4-4551.5
MXRA8	1	3.0177678568810293	887.7567447969598	884.7389769400787	3.0-887.8
AURKAIP1	1	527.0589440299814	10154.360064085646	9627.301120055665	527.1-10154.4
CCNL2	1	622.1090344498186	25917.537449786207	25295.428415336388	622.1-25917.5
MRPL20-AS1	1	31.471830745496653	1704.7480983445048	1673.2762675990082	31.5-1704.7
MRPL20	1	143.52151305664796	3152.680486843178	3009.15897378653	143.5-3152.7
MRPL20-DT	1	0.0	657.4903906291496	657.4903906291496	0.0-657.5
VWA1	1	0.0	259.9668090761834	259.9668090761834	0.0-260.0
ATAD3C	1	0.0	421.47859305136313	421.47859305136313	0.0-421.5
ATAD3B	1	64.71983795947601	3408.5565493319527	3343.8367113724767	64.7-3408.6
ATAD3A	1	32.523844383314604	2581.1695266129727	2548.645682229658	32.5-2581.2
TMEM240	1	0.0	146.8509542722185	146.8509542722185	0.0-146.9
SSU72	1	721.9157837893077	13876.792883419705	13154.877099630397	721.9-13876.8
FNDC10	1	0.0	1007.9298362490017	1007.9298362490017	0.0-1007.9
ENSG00000286989	1	0.0	205.00875292703265	205.00875292703265	0.0-205.0
ENSG00000272106	1	8.02972145425396	583.8496583172162	575.8199368629622	8.0-583.8
MIB2	1	249.4125026873989	10411.259722711447	10161.847220024049	249.4-10411.3
MMP23B	1	0.0	273.86060153219904	273.86060153219904	0.0-273.9
CDK11B	1	271.46070631463135	6414.832180310049	6143.371473995418	271.5-6414.8
SLC35E2B	1	264.9683028066678	11183.774523121603	10918.806220314935	265.0-11183.8
ENSG00000293187	1	0.0	1232.5266227147054	1232.5266227147054	0.0-1232.5
ENSG00000310190	1	0.0	428.7535346817751	428.7535346817751	0.0-428.8
CDK11A	3	6.260563648789595	5293.3227750841015	5197.267076502598	6.3-23.1; 29.2-65.6; 149.3-5293.3
ENSG00000293188	1	5.01553924075394	3083.4687521732717	3078.4532129325175	5.0-3083.5
ENSG00000290854	1	0.0	420.5051328697554	420.5051328697554	0.0-420.5
NADK	1	2285.4734061611516	55020.12697638574	52734.65357022459	2285.5-55020.1
GNB1	1	2476.970262989047	31784.559883085494	29307.58962009645	2477.0-31784.6
PRKCZ	1	39.76410076116242	3791.678913501459	3751.914812740297	39.8-3791.7
ENSG00000271806	1	0.0	274.3593160067612	274.3593160067612	0.0-274.4
PRKCZ-AS1	1	0.0	1761.7089487396445	1761.7089487396445	0.0-1761.7
FAAP20	1	154.8001303683326	4595.699122862413	4440.898992494081	154.8-4595.7
SKI	1	64.82026112794898	10547.874366217551	10483.054105089603	64.8-10547.9
ENSG00000287356	1	0.0	215.27699607044656	215.27699607044656	0.0-215.3
MORN1	1	0.0	193.71799300039345	193.71799300039345	0.0-193.7
ENSG00000292993	1	0.0	181.87967504669226	181.87967504669226	0.0-181.9
RER1	1	439.25578949983134	8667.167308448306	8227.911518948475	439.3-8667.2
PEX10	1	11.51188870523882	552.6663169075119	541.1544282022732	11.5-552.7
PLCH2	1	4.083556430383697	12340.979120430635	12336.895564000251	4.1-12341.0
PANK4	1	133.43364996237474	4175.752414712436	4042.3187647500613	133.4-4175.8
ENSG00000272449	1	0.8320817736212953	1198.0471811729046	1197.2150993992834	0.8-1198.0
TNFRSF14-AS1	1	15.163813103099434	1365.7688053876839	1350.6049922845843	15.2-1365.8
TNFRSF14	1	867.2545741264333	18962.657073614	18095.402499487565	867.3-18962.7
ENSG00000228037	1	0.0	224.77761044349316	224.77761044349316	0.0-224.8
PRXL2B	1	27.10761756700235	2411.268966678775	2384.161349111773	27.1-2411.3
TTC34	1	0.0	515.5265932394477	515.5265932394477	0.0-515.5
MEGF6	1	98.39118815249638	12079.651578573212	11981.260390420715	98.4-12079.7
ENSG00000238260	1	0.0	792.1078211239601	792.1078211239601	0.0-792.1
TPRG1L	1	602.66189075481	9406.726379036894	8804.064488282085	602.7-9406.7
WRAP73	1	114.76918528158942	2617.3695244680134	2502.600339186424	114.8-2617.4
TP73	1	0.0	339.5472386311174	339.5472386311174	0.0-339.5
GFOD3P	1	26.76487820144063	1903.9973599552168	1877.2324817537763	26.8-1904.0
SMIM1	1	4.818848254036797	23398.826592402336	23394.0077441483	4.8-23398.8
LRRC47	1	71.91381217919762	2600.947690138453	2529.0338779592553	71.9-2600.9
CEP104	1	115.84091696880806	2682.87541026931	2567.034493300502	115.8-2682.9
DFFB	1	6.559707496601478	1204.7883071875897	1198.2285996909882	6.6-1204.8
C1orf174	1	88.48472226067965	3153.6297282050637	3065.145005944384	88.5-3153.6
LINC01134	1	0.0	381.64979278654596	381.64979278654596	0.0-381.6
ENSG00000300565	1	0.0	1255.1186382391488	1255.1186382391488	0.0-1255.1
ENSG00000287586	1	0.0	1048.635997370493	1048.635997370493	0.0-1048.6
NPHP4	1	40.07392836719353	1613.9580601628834	1573.8841317956899	40.1-1614.0
KCNAB2	1	1568.0409840618356	55017.67924062583	53449.638256563994	1568.0-55017.7
